creationDate|id|firstName|lastName|gender|birthday|locationIP|browserUsed|LocationCityId|language|email
2010-01-03T15:10:31.499+00:00|14|Hossein|Forouhar|male|1984-03-11|77.245.239.11|Firefox|1166|fa;ku;en|Hossein14@hotmail.com
2010-01-31T13:13:03.929+00:00|16|Jan|Zakrzewski|female|1986-07-05|31.41.169.140|Chrome|1284|pl;en|Jan16@hotmail.com;Jan16@gmx.com;Jan16@gmail.com;Jan16@chemist.com;Jan16@yahoo.com
2010-01-19T13:51:10.863+00:00|27|Wojciech|Ciesla|male|1985-12-07|31.182.127.125|Internet Explorer|1282|pl;en|Wojciech27@gmail.com;Wojciech27@yahoo.com;Wojciech27@gmx.com;Wojciech27@zoho.com
2010-01-19T23:03:07.674+00:00|33|Ali|Ferrer|female|1981-05-30|41.223.177.12|Safari|969|ar;fr;en|Ali33@hotmail.com;Ali33@zoho.com;Ali33@gmail.com;Ali33@yahoo.com;Ali33@gmx.com
2010-01-20T07:32:07.566+00:00|42|Ali|Achiou|female|1981-03-11|196.29.42.107|Firefox|966|ar;fr;en|Ali42@poop.com;Ali42@mail15.com;Ali42@gmail.com
2010-02-20T09:49:47.443+00:00|46|Alejandro|Garcia|male|1986-12-16|189.202.102.202|Firefox|750|es;en|Alejandro46@hotmail.com;Alejandro46@zoho.com;Alejandro46@yahoo.com;Alejandro46@gmail.com;Alejandro46@gmx.com
2010-01-05T12:12:37.385+00:00|66|Deepak|Khan|male|1980-10-10|49.12.225.25|Chrome|177|bn;mr;en|Deepak66@gmx.com;Deepak66@gmail.com
2010-02-09T22:29:01.024+00:00|71|Albaye Papa|Diouf|female|1982-12-18|196.1.99.249|Internet Explorer|1321|fr;en|Albaye.Papa71@gmx.com;Albaye.Papa71@gmail.com
2010-01-18T02:01:53.909+00:00|100|Nicolas|Diaz|male|1982-07-20|190.5.24.199|Chrome|975|es;en|Nicolas100@gmx.com;Nicolas100@hotmail.com;Nicolas100@gmail.com;Nicolas100@yahoo.com
2010-02-19T09:16:53.438+00:00|107|Abay Ibrahim|Kanapyanov|female|1981-01-21|195.200.75.16|Firefox|1178|ru;kk;en|Abay.Ibrahim107@gmx.com;Abay.Ibrahim107@yahoo.com
2010-02-19T12:42:14.255+00:00|166|Chaim Azriel|Hleb|male|1985-10-01|178.238.2.172|Firefox|992|ru;pl;en|Chaim.Azriel166@yahoo.com;Chaim.Azriel166@gmail.com;Chaim.Azriel166@gmx.com;Chaim.Azriel166@hotmail.com;Chaim.Azriel166@theblackmarket.com
2010-01-01T00:46:06.678+00:00|181|Zdenek|Herzigová|female|1984-12-01|31.132.169.41|Safari|1086|cs;en|Zdenek181@hotmail.com;Zdenek181@gmx.com;Zdenek181@pitbullmail.com
2010-01-07T11:20:01.390+00:00|248|Jose|Gonzalez|male|1981-02-02|31.24.126.147|Firefox|1345|es;en|Jose248@gmail.com;Jose248@gmx.com;Jose248@hotmail.com;Jose248@coolmail.ru;Jose248@yahoo.com
2010-01-30T14:23:23.459+00:00|325|Pavel|Redl|female|1982-07-17|46.28.105.56|Firefox|1088|cs;sk;en|Pavel325@gmx.com
